kelurahan;pos_code;kecamatan
Payogei;98718;Yagai
Wugiwagi;98937;Yamoneri
Pugaida;98718;Yagai
Woyouto;98718;Yagai
Ule Pulo (Ulee Pulo);23682;Woyla Barat
Giko;99064;Yuko
Jaho;27151;X Koto (Sepuluh Koto)
Kluwut;65161;Wonosari
Bomopai;98853;Yaro
Gwak Dugunik;99064;Yuko
Yagaluk;98937;Yamoneri
Jilekme;99571;Yiluk
Karu;99064;Yuko
Pulo Ie;23654;Woyla
Koto Baru;27151;X Koto (Sepuluh Koto)
Lombok Kulon;68282;Wonosari
Ulei Pasi Ara (Ulee Pasi Ara);23682;Woyla Barat
Koto Laweh;27151;X Koto (Sepuluh Koto)
Alue Eumpeuk (Alue Empeuk);23683;Woyla Timur
Imandoa;98614;Yapen Selatan
Kotorambur;99064;Yuko
Lubuk Sanai;38755;XIV Koto
Alue Blang;23654;Woyla
Kubagalo;99571;Yiluk
Ranto Panyang;23654;Woyla
Manaini;98615;Yapen Selatan
Jaya Mukti;98853;Yaro
Kungge;99064;Yuko
Alue Panyang;23654;Woyla
Yaibu;98718;Yagai
Ampelan;68252;Wringin
Alue Kuyun (Alue Kuyuen);23683;Woyla Timur
Banyuputih;68252;Wringin
Odika;99571;Yiluk
Nundawipi;98624;Yapen Selatan
Minegimen;99064;Yuko
Ororodo;98853;Yaro
Alue Sikaya;23654;Woyla
Miyanagame;99064;Yuko
Pasir Hitam;98625;Yapen Selatan
Alue Sundak;23654;Woyla
Pandai Sikek;27151;X Koto (Sepuluh Koto)
Lubuk Sanai II;38755;XIV Koto
Karang Anyar;35685;Wonosobo
Banyuwulu;68252;Wringin
Aron Baroh;23654;Woyla
Alue Meuganda;23683;Woyla Timur
Akarinda;99463;Yaffi
Parauto;98853;Yaro
Lubuk Sanai III;38755;XIV Koto
Kejadian;35685;Wonosobo
Alue Seuralen;23683;Woyla Timur
Bukor;68252;Wringin
Pekaleme;99064;Yuko
Aron Tunong;23654;Woyla
Amgotro;99463;Yaffi
Papani;99571;Yiluk
Pasir Putih;98626;Yapen Selatan
Tabuh;99064;Yuko
Kejiwan;56311;Wonosobo
Pauh Tarenja (Pauh Terenjah);38755;XIV Koto
Paninjauan;27151;X Koto (Sepuluh Koto)
Teleme;99064;Yuko
Kramatan;56315;Wonosobo
Serui Jaya;98612;Yapen Selatan
Wanome;99571;Yiluk
Bogun Kunik;99599;Yugungwi
Wanggar Pantai;98853;Yaro
Gimili Alome;99599;Yugungwi
Blang Dalam;23683;Woyla Timur
Kunyayan;35685;Wonosobo
Wanggar Sari;98853;Yaro
Panyalaian;27151;X Koto (Sepuluh Koto)
Glingseran;68252;Wringin
Blang Luah Kb;23683;Woyla Timur
Giwan;99599;Yugungwi
Yiluweneri;99571;Yiluk
Serui Kota;98616;Yapen Selatan
Wiraska;98853;Yaro
Lombok Wetan;68282;Wonosari
Lakaran;35685;Wonosobo
Serui Laut;98627;Yapen Selatan
Seumantok;23654;Woyla
Fafenumbu;99463;Yaffi
Mlipak;56312;Wonosobo
Yamoneri;98937;Yamoneri
Singgalang;27151;X Koto (Sepuluh Koto)
Jifanggry;99463;Yaffi
Binime;98925;Yamo
Konikme;99599;Yugungwi
Lumbungkerep (Lumbung Kerep);57473;Wonosari
Yubumabur;99571;Yiluk
Negeri Ngarip;35685;Wonosobo
Rawa Bangun;38755;XIV Koto
Bakat;23654;Woyla
Abua;99598;Yiginua
Padang Manis;35685;Wonosobo
Mekarjaya (Mekar Jaya);96262;Wonosari
Gubrih;68252;Wringin
Blang Makmue (Blang Makmur);23683;Woyla Timur
Tambangan;27151;X Koto (Sepuluh Koto)
Mulo;55851;Wonosari
Monggoafi;99463;Yaffi
Golikme;99598;Yiginua
Yabanda;99463;Yaffi
Rawa Mulya;38755;XIV Koto
Jambewungu;68252;Wringin
Gumagame;99598;Yiginua
Suak Trieng (Suak Tring);23654;Woyla
Blang Mee;23654;Woyla
Lugom;99599;Yugungwi
Ngreden;57473;Wonosari
Tarau;98613;Yapen Selatan
Gibaga;98925;Yamo
Padang Ratu;35685;Wonosobo
Bukit Meugajah (Buket Meugajah \/ Bukit Megajah);23683;Woyla Timur
Goyage;98925;Yamo
Jatisari;68252;Wringin
Kabilimbut;98925;Yamo
Teumarom;23654;Woyla
Mabume;99599;Yugungwi
Cot Keumudai (Cot Keumudee);23654;Woyla
Cot Punti;23683;Woyla Timur
Turu;98617;Yapen Selatan
Yaro Makmur;98853;Yaro
Pagerkukuh;56314;Wonosobo
Kwatineri;98925;Yamo
Gampong Baro Kb;23683;Woyla Timur
Syabes;98547;Yendidori
Pancurwening;56316;Wonosobo
Bumi Sahaja;99365;Yapsi
Ansus;98648;Yapen Barat
Jatitamban;68252;Wringin
Gampong Baro Wt;23683;Woyla Timur
Omapaga;99599;Yugungwi
Pandanan;57473;Wonosari
Bundru;99365;Yapsi
Urfu;98547;Yendidori
Cot Lagan Bubon (Cot Lagan BB \/ Cm);23654;Woyla
Tingkeum Panyang;23654;Woyla
Urgelo;99599;Yugungwi
Linwakwi;98925;Yamo
Pardasuka (Parda Suka);35685;Wonosobo
Pangeya;96262;Wonosari
Sumbercanting;68252;Wringin
Ninabua;99598;Yiginua
Ketimavit;99514;Wouma
Yuruf;99463;Yaffi
Tanjung Mulya;38755;XIV Koto
Cot Murong;23654;Woyla
Pasarejo;68282;Wonosari
Gunong Payang (Gunong Panyang);23683;Woyla Timur
Pekon Balak;35685;Wonosobo
Muara;98925;Yamo
Cot Situah;23654;Woyla
Rojoimo;56316;Wonosobo
Inowa;98648;Yapen Barat
Logonoba;99514;Wouma
Sambek;56312;Wonosobo
Darul Huda;23654;Woyla
Wandoak;99599;Yugungwi
Pipitmo;99514;Wouma
Waroi (Waroy);98547;Yendidori
Nami;98925;Yamo
Sumbermalang;68252;Wringin
Pelalangan;68282;Wonosari
Sinarekowa;99514;Wouma
Agenggen;98979;Yugumuak
Kairawi;98648;Yapen Barat
Piyaman;55851;Wonosari
Wirmaker;98547;Yendidori
Sampang Turus;35685;Wonosobo
Wesakin;99514;Wouma
Sariyoso;56317;Wonosobo
Jerusalem;98979;Yugumuak
Maniri;98648;Yapen Barat
Yendidori;98547;Yendidori
Sinar Saudara;35685;Wonosobo
Plandi;65161;Wonosari
Drien Mangko (Drin Mangko);23654;Woyla
Tiogeme;98925;Yamo
Marau;98648;Yapen Barat
Wringin;68252;Wringin
Plaosan;65161;Wonosari
Soponyono;35685;Wonosobo
Pulutan;55851;Wonosari
Lambera;98979;Yugumuak
Wolame;98925;Yamo
Raharja;96262;Wonosari
Narei;98648;Yapen Barat
Baun;98379;Yembun
Wundu;98925;Yamo
Sri Melati;35685;Wonosobo
Manggame;98979;Yugumuak
Natabui;98648;Yapen Barat
Sridadi;35685;Wonosobo
Metbelum;98379;Yembun
Gempa Raya;23654;Woyla
Yambuni;98925;Yamo
Mugalolo;98979;Yugumuak
Luaren;99917;Wutpaga
Wesakma;99514;Wouma
Pamebut;98979;Yugumuak
Yileyale;98925;Yamo
Wouma;99514;Wouma
Sumur Tujuh;35685;Wonosobo
Glee Siblah;23654;Woyla
Tanjung Kurung;35685;Wonosobo
Ninengwa;99598;Yiginua
Sari Tani;96262;Wonosari
Wilewak;98979;Yugumuak
Kwarja (Kwaja);99365;Yapsi
Yogolawi;98925;Yamo
Wiyabubu;98979;Yugumuak
Arolipu;92971;Wotu
Balung;28454;XIII Koto Kampar
Metbesa;98378;Yembun
Tepogi;99598;Yiginua
Dangenpaga;98917;Yambi
Bahari;92971;Wotu
Nawa Mukti;99365;Yapsi
Sekaran;57473;Wonosari
Weri;99598;Yiginua
Balo-Balo (Balobalo);92971;Wotu
Selang;55851;Wonosari
Batu Bersurat;28454;XIII Koto Kampar
Bawalipu;92971;Wotu
Kubu Capang (Keubeu Capang);23683;Woyla Timur
Sidowarno;57473;Wonosari
Nawa Mulya;99365;Yapsi
Binamang;28454;XIII Koto Kampar
Ginigom;98917;Yambi
Ongan Jaya;99365;Yapsi
Siraman;55851;Wonosari
Cendana Hijau;92971;Wotu
Suka Mulya (Sukamulya);96262;Wonosari
Sukamaju;96262;Wonosari
Gunung Bungsu;28454;XIII Koto Kampar
Mondu;98917;Yambi
Sukorejo;57473;Wonosari
Lubuk Panyang (Leubok \/ Lubok Panyang);23683;Woyla Timur
Koto Mesjid;28454;XIII Koto Kampar
Pasi Ara Wt;23683;Woyla Timur
Kalaena;92971;Wotu
Purnawajati (Purnama Jati);99365;Yapsi
Pasi Janeng;23683;Woyla Timur
Moulo;98917;Yambi
Kanawatu;92971;Wotu
Tenolok;98917;Yambi
Tirineri;98917;Yambi
Tabbeyan (Tabeyan);99365;Yapsi
Pulutan Wetan (Pulutanwetan);57661;Wuryantoro
Wonome;98917;Yambi
Paya Baro;23683;Woyla Timur
Sumberdem;65161;Wonosari
Taqwa\/Takwa Bangun;99365;Yapsi
Sumberejo;57661;Wuryantoro
Paya Meugendrang;23683;Woyla Timur
Koto Tuo;28454;XIII Koto Kampar
Yambi;98917;Yambi
Rambong;23683;Woyla Timur
Sumberkalong;68282;Wonosari
Rambong Pinto;23683;Woyla Timur
Wuryantoro;57661;Wuryantoro
Koto Tuo Barat;28454;XIII Koto Kampar
Sumbertempur (Sumber Tempur);65161;Wonosari
Tangsil Wetan;68282;Wonosari
Yoboluk;98917;Yambi
Arombok;99036;Wunim
Seuneubok Dalam;23683;Woyla Timur
Tanjung Harapan;96262;Wonosari
Muli;99917;Wutpaga
Aipakma;99549;Yalengga
Lubuk Agung;28454;XIII Koto Kampar
Nuiwiora;98648;Yapen Barat
Gunong\/Gunung Rambong;23654;Woyla
Doreimanona;98645;Yapen Utara
Tawangsari;56313;Wonosobo
Kiriyou (Kiriyow);98645;Yapen Utara
Muara Takus;28454;XIII Koto Kampar
Wobulo;98979;Yugumuak
Seuradek (Seuradeuk);23683;Woyla Timur
Tlogojati;56317;Wonosobo
Gunung Hampa;23654;Woyla
Metnayam;98379;Yembun
Roswari (Artaneng);98645;Yapen Utara
Way Liwok;35685;Wonosobo
Salem;98379;Yembun
Ie Itam Baroh;23654;Woyla
Yugumuak;98979;Yugumuak
Tangkeh;23683;Woyla Timur
Sambrawai (Samrawai);98645;Yapen Utara
Papuama;98648;Yapen Barat
Way Panas;35685;Wonosobo
Sumbekas;98379;Yembun
Tinigele;99917;Wutpaga
Dokoneida;98737;Youtadi
Pongkai Istiqomah;28454;XIII Koto Kampar
Asur;98552;Yawosi
Teumiket Ranom;23683;Woyla Timur
Bosnabraidi;98552;Yawosi
Ie Itam Tunong;23654;Woyla
Pulau Gadang;28454;XIII Koto Kampar
Wonolelo;56313;Wonosobo
Ipouwa;98737;Youtadi
Tuwi Eumpeuk (Tuwi Empeuk);23683;Woyla Timur
Sasawa;98648;Yapen Barat
Ranah Sungkai;28454;XIII Koto Kampar
Wonosari;56318;Wonosobo
Toweta;98648;Yapen Barat
Munaiyepa;98737;Youtadi
Wangun;99917;Wutpaga
Namutadi;98737;Youtadi
Alue Keumuning (Alue Keumuneng);23682;Woyla Barat
Borot;99919;Yigi
Wonosobo;35685;Wonosobo
Alue Leuhop (Alue Leuhob);23682;Woyla Barat
Indawi;98552;Yawosi
Warabori;98648;Yapen Barat
Uwagi;98737;Youtadi
Tanjung Alai;28454;XIII Koto Kampar
Wonosobo Barat;56311;Wonosobo
Youtadi;98737;Youtadi
Karambua (Korombua);92971;Wotu
Delsa;99919;Yigi
Tegalgondo;57473;Wonosari
Darungan;67382;Yosowilangun
Soromasen (Soromasem);98645;Yapen Utara
Jawa;23654;Woyla
Akorek;99549;Yalengga
Disendobo;99919;Yigi
Kalipepe;67382;Yosowilangun
Wuone;99917;Wutpaga
Webi;98648;Yapen Barat
Wonosobo Timur;56317;Wonosobo
Jawi;23654;Woyla
Teloyo;57473;Wonosari
Tindaret;98645;Yapen Utara
Lampenai;92971;Wotu
Lera;92971;Wotu
Yobi;98645;Yapen Utara
Enanagi;99036;Wunim
Alue Permen (Alue Perman);23682;Woyla Barat
Madani;92971;Wotu
Awunawai;98644;Yapen Timur
Bandung;57382;Wonosegoro
Ekilapok (Ekilapo);99919;Yigi
Wimoni;98648;Yapen Barat
Traktakan;68282;Wonosari
Wutpaga;99917;Wutpaga
Bitti;99549;Yalengga
Banyusri;57382;Wonosegoro
Talawaan Bantik;95376;Wori
Keuleumbah;23654;Woyla
Blang Cot Mameh;23682;Woyla Barat
Ampel;68162;Wuluhan
Woiwani;98648;Yapen Barat
Gimigip;99930;Wusi
Maramba;92971;Wotu
Carangwulung;61476;Wonosalam
Gilopaga;99036;Wunim
Tiwoho;95376;Wori
Trirukun (Tri Rukun);96262;Wonosari
Aripan;27356;X Koto Singkarak
Doreng;59571;Wonosalam
Bojong;57382;Wonosegoro
Manili;99549;Yalengga
Bolo;57382;Wonosegoro
Wori;95376;Wori
Keribaga;99036;Wunim
Pilimo;99549;Yalengga
Galengdowo;61476;Wonosalam
Karunggame;99919;Yigi
Numbuboton;99036;Wunim
Getas;59571;Wonosalam
Dawai;98644;Yapen Timur
Ginigit;99930;Wusi
Gosono;57382;Wonosegoro
Jarak;61476;Wonosalam
Lumbukdumu;99919;Yigi
Pijemae;99930;Wusi
Duai;98644;Yapen Timur
Jogoloyo;59571;Wonosalam
Guwo;57383;Wonosegoro
Yarori;98648;Yapen Barat
Sirit;99919;Yigi
Dukuhdempok (Dukuh Dempok);68162;Wuluhan
Taganik;99549;Yalengga
Korombobi (Karombobi);98644;Yapen Timur
Kalianyar;59571;Wonosalam
Pepuro Barat;92971;Wotu
Karangjati;57382;Wonosegoro
Rinjani;92971;Wotu
Mugiarem;99942;Yal
Yenusi Marau;98648;Yapen Barat
Tabaroge;92971;Wotu
Kauman;57383;Wonosegoro
Pindak;99036;Wunim
Karangrejo;59571;Wonosalam
Sumbo;99919;Yigi
Ketoyan;57382;Wonosegoro
Tarengge;92971;Wotu
Muruldumu;99942;Yal
Pokegi;99036;Wunim
Glundengan;68162;Wuluhan
Fefero (Fefeko);99685;Yaniruma
Suwenem;99919;Yigi
Karangrowo;59571;Wonosalam
Lemahireng;57383;Wonosegoro
Tarengge Timur;92971;Wotu
Blang Cot Rubek;23682;Woyla Barat
Manggemakhe (Manggemahe);99685;Yaniruma
Kendaldoyong;59571;Wonosalam
Kacang;27356;X Koto Singkarak
Palpam;99942;Yal
Wona;99036;Wunim
Blang Luah LM (Blang Luah);23682;Woyla Barat
Yaniruma;99685;Yaniruma
Bliko;86260;Wotan Ulumando
Kerangkulon;59571;Wonosalam
Wusi;99930;Wusi
Mareruni (Mereruni \/ Maseruni);98644;Yapen Timur
Demondei;86260;Wotan Ulumando
Wonosegoro;57382;Wonosegoro
Kesilir;68162;Wuluhan
Koto Sani;27356;X Koto Singkarak
Wurineri;99036;Wunim
Hairapara;98122;Yamor
Kawela;86260;Wotan Ulumando
Baleharjo;55811;Wonosari
Wiritlak;99919;Yigi
Samba;99942;Yal
Bantengan;63181;Wungu
Apdagma (Apdakma);99719;Wusama
Kuncir;59571;Wonosalam
Lempuyang;59571;Wonosalam
Cot Lagan Lm;23682;Woyla Barat
Klukengnuking;86260;Wotan Ulumando
Sitdobo;99942;Yal
Brumbun;63181;Wungu
Lojejer;68162;Wuluhan
Nayubaya;86260;Wotan Ulumando
Mojodemak;59571;Wonosalam
Saniangbaka (Saning Baka);27356;X Koto Singkarak
Suelama;99942;Yal
Oyangbarang;86260;Wotan Ulumando
Cot Rambong;23682;Woyla Barat
Karangrejo;63181;Wungu
Sujomdobo;99942;Yal
Nunsembai (Hunsembai);98644;Yapen Timur
Pandai;86260;Wotan Ulumando
Ie Sayang;23682;Woyla Barat
Mranak;59571;Wonosalam
Kresek;63181;Wungu
Singkarak;27356;X Koto Singkarak
Tamansari;68162;Wuluhan
Yebadolma;99919;Yigi
Undo;99942;Yal
Mojopurno;63181;Wungu
Samsoge;86260;Wotan Ulumando
Tanjungrejo (Tanjung Rejo);68162;Wuluhan
Tana Tukan;86260;Wotan Ulumando
Omba Pamuku;98122;Yamor
Mrisen;59571;Wonosalam
Mojorayung;63181;Wungu
Nunsiari;98644;Yapen Timur
Hadakamali;87183;Wulla Waijelu (Wula Waijelu)
Yigi;99919;Yigi
Panglungan;61476;Wonosalam
Tobilota;86260;Wotan Ulumando
Harap;99719;Wusama
Wailebe;86260;Wotan Ulumando
Bangelan;65161;Wonosari
Lainjanji;87183;Wulla Waijelu (Wula Waijelu)
Munggut;63181;Wungu
Kolodoma;99719;Wusama
Sere Sere;98644;Yapen Timur
Pilangrejo;59571;Wonosalam
Bendoarum;68282;Wonosari
Sumani;27356;X Koto Singkarak
Ure (Mury\/Uray);98122;Yamor
Yaba;99942;Yal
Wotanulumado;86260;Wotan Ulumando
Bener;57473;Wonosari
Maima;99918;Yenggelo
Bambisik;99929;Wosak
Mugi (Mogi);99719;Wusama
Sambirejo;61476;Wonosalam
Wabo;98644;Yapen Timur
Nglambangan;63181;Wungu
Sidomulyo (Sido Mulyo);59571;Wonosalam
Biala;99929;Wosak
Tanjung Alai;27356;X Koto Singkarak
Ndugwa (Ndukwa);99929;Wosak
Yal;99942;Yal
Nglanduk;63181;Wungu
Bentangan;57473;Wonosari
Sumberjo;61476;Wonosalam
Urubika;98122;Yamor
Yimogi;99942;Yal
Mul;99719;Wusama
Pilangrejo;63181;Wungu
Bolali;57473;Wonosari
Laipandak;87183;Wulla Waijelu (Wula Waijelu)
Bongo II (Bongo Dua);96262;Wonosari
Bongo III (Bongo Tiga);96262;Wonosari
Amk;99855;Yakomi
Sabin;99719;Wusama
Sidorejo;63181;Wungu
Pilini;99929;Wosak
Tlogodowo;59571;Wonosalam
Sobrah;63181;Wungu
Latena (La Tena);87183;Wulla Waijelu (Wula Waijelu)
Tumpeng;68282;Wonosari
Wagoha (Wagioha);98122;Yamor
Wadunggetas (Wadung Getas);57473;Wonosari
Wosokuno;98122;Yamor
Benggo;99855;Yakomi
Tempursari;63181;Wungu
Sitpogol;99929;Wosak
Tlogorejo;59571;Wonosalam
Amberiambut;98937;Yamoneri
Lumbu Manggit;87183;Wulla Waijelu (Wula Waijelu)
Sangatur;99719;Wusama
Boto;57473;Wonosari
Borohaba;99855;Yakomi
Bunume;98937;Yamoneri
Bakadaro;98676;Wonti
Bulan;57473;Wonosari
Budo;95376;Wori
Bulo;95376;Wori
Paranda;87183;Wulla Waijelu (Wula Waijelu)
Darunu;95376;Wori
Digolome;98937;Yamoneri
Kima Bajo;95376;Wori
Borumei;98676;Wonti
Kuala Bhee;23654;Woyla
Tumun;99549;Yalengga
Dimito;96262;Wonosari
Wareng;55851;Wonosari
Kulu;95376;Wori
Dulohupa;96262;Wonosari
Lueng Buloh;23654;Woyla
Trengguli;59571;Wonosalam
Sowaling;99719;Wusama
Wamanuk Dua;99549;Yalengga
Duwet;57473;Wonosari
Wonosari;55851;Wonosari
Fimore;98676;Wonti
Wonokerto;61476;Wonosalam
Wulla (Wula);87183;Wulla Waijelu (Wula Waijelu)
Wungu;63181;Wungu
Lansa;95376;Wori
Hebeske;99855;Yakomi
Wananuk;99549;Yalengga
Wonomerto;61476;Wonosalam
Wonosari;68282;Wonosari
Wugurima;99549;Yalengga
19 Nopember;93560;Wundulako
Gheroi;98676;Wonti
Yalengga (Yelengga);99549;Yalengga
Bende;93560;Wundulako
Kokoya;99855;Yakomi
Karak;23682;Woyla Barat
Wonosari;65161;Wonosari
Wonosalam;61476;Wonosalam
Nolo;99918;Yenggelo
Lantung;95376;Wori
Kowioha;93560;Wundulako
Wabompi;98644;Yapen Timur
Ghoiwi Samberi;98676;Wonti
Wunung;55851;Wonosari
Kulam Kaju;23682;Woyla Barat
Wonosalam;59571;Wonosalam
Ogorito;99855;Yakomi
Boru;86256;Wulanggitang
Moyufuri;98676;Wonti
Wuarem;99918;Yenggelo
Woinsupi (Waisopi);98644;Yapen Timur
Yenggelo;99918;Yenggelo
Cobanblimbing (Coban Blimbing);67173;Wonorejo
Lhok Malee;23682;Woyla Barat
Adoki;98547;Yendidori
Yame;99855;Yakomi
Lubuk Pasi Ara (Leubok Pasi Ara);23682;Woyla Barat
Boru Kedang;86256;Wulanggitang
Tikalak;27356;X Koto Singkarak
Jati Gunting;67173;Wonorejo
Banawa;98621;Yapen Selatan
Amfulma;99745;Yahuliambut
Odase;98676;Wonti
Karangasem (Karang Asem);67173;Wonorejo
Barawaikap;98622;Yapen Selatan
Bukit Kanduang;27355;X Koto Diatas
Lueng Tanoh Tho;23654;Woyla
Linggisen;99745;Yahuliambut
Gumawi;98937;Yamoneri
Duwet;55851;Wonosari
Karangjatianyar (Karangjati Anyar);67173;Wonorejo
Suok;99719;Wusama
Lueng Baro;23682;Woyla Barat
Lueng Teungku Yah (Lhung Tgk Yah);23654;Woyla
Bawai;98623;Yapen Selatan
Subundalek;99745;Yahuliambut
Mon Pasong;23682;Woyla Barat
Gari;55851;Wonosari
Sifuisera;98676;Wonti
Napai;23682;Woyla Barat
Jembeneri;98937;Yamoneri
Hewa;86256;Wulanggitang
Wanda;98676;Wonti
Walkuma;99719;Wusama
Suksale;99745;Yahuliambut
Jibonok;98937;Yamoneri
Gunting;57473;Wonosari
Yerekama;99719;Wusama
Lung Jawa (Lueng Jawa);23654;Woyla
Jigelo;98937;Yamoneri
Karangmenggah (Karang Menggah);67173;Wonorejo
Genukharjo;57661;Wuryantoro
Betbere;99942;Yal
Hokeng Jaya;86256;Wulanggitang
Bengle;57382;Wonosamodro
Katialo;27355;X Koto Diatas
Lamekongga;93560;Wundulako
Wonti Kai;98676;Wonti
Kuncir;27355;X Koto Diatas
Biledumu;99942;Yal
Karangsono;67173;Wonorejo
Tambakrejo;66173;Wonotirto
Ngapa;93560;Wundulako
Padang Jawa;23654;Woyla
Harapan;96262;Wonosari
Jiguluk;98937;Yamoneri
Gumiwang Lor (Gumiwanglor);57661;Wuryantoro
Tanggeam;99745;Yahuliambut
Mantehage Bango;95376;Wori
Panton;23654;Woyla
Jatimulya;96262;Wonosari
Bercak;57382;Wonosamodro
Kendangdukuh (Kendang Dukuh);67173;Wonorejo
Labuh Panjang;27355;X Koto Diatas
Pasi Aceh;23654;Woyla
Aweubutu;98718;Yagai
Wonotirto;66173;Wonotirto
Mantehage Buhias;95376;Wori
Paninjauan;27355;X Koto Diatas
Jelobo;57473;Wonosari
Sabiona (Sabiano);93560;Wundulako
Jumpong;68282;Wonosari
Bandar Kejadian;35685;Wonosobo
Dangenpem;99942;Yal
Brayo;51253;Wonotunggal
Garangan;57382;Wonosamodro
Banjar Negara (Banjar Negoro);35685;Wonosobo
Klatanlo;86256;Wulanggitang
Mantehage II Tangkasi (Mantehage Tangkas);95376;Wori
Kapuran;68282;Wonosari
Pasilihan;27355;X Koto Diatas
Detauwo;98718;Yagai
Gilirejo;57382;Wonosamodro
Pasi Ara Kuala Batee (Pasi Ara Kb);23654;Woyla
Dengpa;99942;Yal
Brokoh;51253;Wonotunggal
Karangrejek (Karang Rejek);55851;Wonosari
Mlopoharjo;57661;Wuryantoro
Nawokote;86256;Wulanggitang
Jimbanime;98937;Yamoneri
Kluwut;67173;Wonorejo
Mantehage III Tinongko (Mantehage Tinongko);95376;Wori
Pasi Birah;23654;Woyla
Dringo;51253;Wonotunggal
Gunungsari;57382;Wonosamodro
Mojopuro (Mojopura);57661;Wuryantoro
Diringgama;99942;Yal
Kobarak;98937;Yamoneri
Banjar Sari (Banjarsari);35685;Wonosobo
Minaesa;95376;Wori
Gimi;99942;Yal
Silea;93560;Wundulako
Nileknoheng;86256;Wulanggitang
Pasi Lunak;23654;Woyla
Nain;95376;Wori
Lebak Sari (Lebaksari);67173;Wonorejo
Banyu Urip;35685;Wonosobo
Karangtengah (Karang Tengah);55851;Wonosari
Pulutan Kulon (Pulutankulon);57661;Wuryantoro
Ipuwa;98718;Yagai
Kebobang;65161;Wonosari
Girimnak;99942;Yal
Pakijangan;67173;Wonorejo
Jatilawang;57382;Wonosamodro
Bomerto;56318;Wonosobo
Ojandetun;86256;Wulanggitang
Kepek;55813;Wonosari
Pasi Jeut;23682;Woyla Barat
Tikonu;93560;Wundulako
Bumiroso (Bumireso);56317;Wonosobo
Kalinanas;57382;Wonosamodro
Gularem;99942;Yal
Kedungpilang;57382;Wonosamodro
Nain Satu;95376;Wori
Ngablak;57382;Wonosamodro
Repaking;57382;Wonosamodro
Nain Tatampi;95376;Wori
